[1.87676333 1.07434004]
254     , -589.174    , array([ 0.733813   ,  0.515667   ])
256     , -80.6267    , array([ 1.96517    ,  0.608958   ])
258     , -80.6132    , array([ 1.96517    ,  0.609567   ])
[1.96516504 0.60895804]
260     , -543.446    , array([ 0.733813   ,  0.7459     ])
262     , -110.609    , array([ 1.88459    ,  1.03684    ])
264     , -110.696    , array([ 1.88459    ,  1.03788    ])
[1.88458803 1.03684158]
266     , -499.084    , array([ 0.733813   ,  0.0886913  ])
268     , -329.778    , array([ 1.93066    ,  0.0691037  ])
270     , -329.689    , array([ 1.93066    ,  0.0691728  ])
[1.93065618 0.06910369]
272     , -562.701    , array([ 0.733813   ,  0.647303   ])
274     , -90.5122    , array([ 1.92416    ,  0.841426   ])
276     , -90.5553    , array([ 1.92416    ,  0.842268   ])
[1.92416048 0.84142582]
278     , -610.862    , array([ 0.733813   ,  0.270656   ])
280     , -148.217    , array([ 1.99039    ,  0.257881   ])
282     , -148.076    , array([ 1.99039    ,  0.258139   ])
[1.99038775 0.25788131]
284     , -544.556    , array([ 0.733813   ,  0.740023   ])
286     , -109.138    , array([ 1.88713    ,  1.02468    ])
288     , -109.222    , array([ 1.88713    ,  1.0257     ])
[1.88712955 1.02467967]
290     , -607.604    , array([ 0.733813   ,  0.407228   ])
292     , -91.358     , array([ 1.98659    ,  0.440458   ])
294     , -91.2915    , array([ 1.98659    ,  0.440898   ])
[1.98658656 0.44045758]
296     , -553.91     , array([ 0.733813   ,  0.691523   ])
298     , -98.2622    , array([ 1.90733    ,  0.926667   ])
300     , -98.3249    , array([ 1.90733    ,  0.927594   ])
[1.90732923 0.92666684]
302     , -587.989    , array([ 0.733813   ,  0.521751   ])
304     , -80.6007    , array([ 1.96365    ,  0.618932   ])
306     , -80.5905    , array([ 1.96365    ,  0.619551   ])
[1.96364805 0.61893174]
308     , -476.743    , array([ 0.733813   ,  0.071603   ])
310     , -348.054    , array([ 1.91935    ,  0.0545878  ])
312     , -347.989    , array([ 1.91935    ,  0.0546424  ])
[1.9193502  0.05458782]
314     , -402.888    , array([ 0.936799   ,  0.0521943  ])
316     , -353.598    , array([ 2.53475    ,  0.0479424  ])
318     , -353.536    , array([ 2.53475    ,  0.0479904  ])
[2.53475424 0.04794242]
320     , -421.409    , array([ 0.936799   ,  0.978683   ])
322     , -48.6874    , array([ 2.53792    ,  1.04836    ])
324     , -48.6981    , array([ 2.53792    ,  1.04941    ])
[2.53792162 1.04836124]
326     , -429.996    , array([ 0.936799   ,  0.700727   ])
328     , -49.2692    , array([ 2.54171    ,  0.73071    ])
330     , -49.2587    , array([ 2.54171    ,  0.731441   ])
[2.54170528 0.73071006]
332     , -417.553    , array([ 0.936799   ,  0.117317   ])
334     , -267.577    , array([ 2.53934    ,  0.110474   ])
336     , -267.427    , array([ 2.53934    ,  0.110584   ])
[2.53934339 0.1104737 ]
338     , -437.104    , array([ 0.936799   ,  0.3438     ])
340     , -88.1545    , array([ 2.54389    ,  0.341616   ])
342     , -88.0442    , array([ 2.54389    ,  0.341958   ])
[2.54388646 0.34161573]
