species_id,LL,model,Theta,Nu,N_a,N_e,T,T_scaled,T_gen
Alistipes_shahii_62199,-216.820715173.,one_epoch,14115.87,0.0070451,5.01E+14,3.53E+12,1.90E-08,19017783.04,17992.22615
Bacteroidales_bacterium_58650_no_mask,-229.453899008.,one_epoch,8039.08,0.0043872,4.58E+14,2.01E+12,3.11E-08,28518368.53,26980.48111
Bacteroidales_bacterium_58650,-224.025922804.,one_epoch,5498.96,0.0024679,5.57E+14,1.37E+12,1.74E-08,19440077.69,18391.74805
Bacteroides_caccae_53434,-98.8749495265.,one_epoch,6933.5,0.0045646,3.80E+14,1.73E+12,2.06E-08,15615192.89,14773.12478
Bacteroides_fragilis_54507,-311.019473484.,one_epoch,3807.35,0.0003316,2.87E+15,9.52E+11,2.04E-09,11729591.54,11097.05917
Bacteroides_massiliensis_44749,-20.3617427569.,one_epoch,4938.48,0.0002755,4.48E+15,1.23E+12,1.30E-09,11669569.14,11040.27355
Bacteroides_ovatus_58035,-181.635395821.,one_epoch,5116.62,0.0441912,2.89E+13,1.28E+12,3.23E-07,18725497.7,17715.70264
Bacteroides_vulgatus_57955,-142.247482051.,one_epoch,4240.45,0.0046632,2.27E+14,1.06E+12,5.56E-08,25274616.55,23911.65236
Bacteroides_xylanisolvens_57185,-166.0628826.,one_epoch,5282.19,0.3138113,4.21E+12,1.32E+12,1.94E-06,16356951.38,15474.88305
Barnesiella_intestinihominis_62208_no_mask,-739.501271233.,one_epoch,153.08,0.001196,3.20E+13,38268815928,1.65E-07,10583568,10012.83633
Dialister_invisus_61905,-140.340721113.,one_epoch,2493.57,0.4018366,1.55E+12,6.23E+11,3.46E-06,10728679.72,10150.12272
Eubacterium_eligens_61678,-226.737989406.,one_epoch,2392.78,0.002629,2.28E+14,5.98E+11,4.87E-08,22146024.05,20951.77299
Parabacteroides_distasonis_56985_no_mask,-472.73364692.,one_epoch,2187.23,0.1940226,2.82E+12,5.47E+11,3.27E-06,18412812.71,17419.87958
Parabacteroides_merdae_56972_no_mask,-194.945099937.,one_epoch,2370.83,0.0038073,1.56E+14,5.93E+11,3.88E-08,12093055.79,11440.92317
Parabacteroides_merdae_56972,-179.740046365.,one_epoch,2105.13,0.0038656,1.36E+14,5.26E+11,4.28E-08,11664465.43,11035.44506
Phascolarctobacterium_sp_59817_no_mask,-548.201437719.,one_epoch,11494.66,0.0031627,9.09E+14,2.87E+12,1.73E-08,31491024.95,29792.83344
Phascolarctobacterium_sp_59817,-446.321619655.,one_epoch,11290.4,0.0042786,6.60E+14,2.82E+12,7.76E-09,10237265.34,9685.208455
Prevotella_copri_61740,-302.787655984.,one_epoch,3181.07,0.1629636,4.88E+12,7.95E+11,1.59E-06,15564361.05,14725.0341
Akkermansia_muciniphila_55290,-154.628221109.,bottledecay,4039.21,0.0037292,2.71E+14,1.01E+12,4.78E-08,25864068.65,24469.31755
Alistipes_onderdonkii_55464,-285.246680818.,bottledecay,7130.66,0.003926,4.54E+14,1.78E+12,1.64E-08,14892863.45,14089.74783
Alistipes_shahii_62199,-216.820714449.,bottledecay,6632.55,0.0047161,3.52E+14,1.66E+12,1.73E-08,12186522.27,11529.34935
Bacteroidales_bacterium_58650,-181.910492146.,bottledecay,2945.35,0.0074082,9.94E+13,7.36E+11,4.73E-08,9399798.537,8892.903062
Bacteroides_caccae_53434,-98.874838675.,bottledecay,5590.39,0.00733,1.91E+14,1.40E+12,3.51E-08,13367592.87,12646.7293
Bacteroides_fragilis_54507,-311.01947329.,bottledecay,4435.35,0.0046174,2.40E+14,1.11E+12,3.74E-08,17970755.06,17001.66042
Bacteroides_massiliensis_44749,-20.361742706.,bottledecay,3794.2,0.004234,2.24E+14,9.49E+11,2.32E-08,10374002.06,9814.571484
Bacteroides_ovatus_58035,-181.635390587.,bottledecay,8066.53,0.0033728,5.98E+14,2.02E+12,1.87E-08,22343041.38,21138.16592
Bacteroides_uniformis_57318_no_doubletons,-230.274343838.,bottledecay,12875.09,0.0069577,4.63E+14,3.22E+12,2.06E-08,19060357.77,18032.50498
Bacteroides_vulgatus_57955,-142.24747478.,bottledecay,8084.1,0.0041407,4.88E+14,2.02E+12,3.19E-08,31187934.39,29506.08741
Bacteroides_xylanisolvens_57185,-166.062879728.,bottledecay,5368.09,0.0023906,5.61E+14,1.34E+12,1.58E-08,17684424.95,16730.771
