species_id, LL, model, Theta, Nu, N_a, N_e, T, T_scaled, T_gen
Parabacteroides_merdae_56972,-42.4903983,exponential,6559.722933,0.00490959,3.34E+14,1.64E+12,4.14E-04,2.76E+11,2.62E+08
Parabacteroides_merdae_56972,-75.85064818,bottledecay,6138.170329,1.16E-01,1.33E+13,1.53E+12,6.41E-07,1.70E+07,1.61E+04
Parabacteroides_merdae_56972,-75.8506354,three_epoch,6138.170377,1.99E-01,7.73E+12,1.53E+12,1.29E-06,2.00E+07,1.89E+04
Phascolarctobacterium_sp_59817,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Phascolarctobacterium_sp_59817,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Phascolarctobacterium_sp_59817,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Phascolarctobacterium_sp_59817,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Phascolarctobacterium_sp_59817,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Prevotella_copri_61740,,one_epoch,,N/A,N/A,N/A,N/A,N/A,N/A
Prevotella_copri_61740,,two_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Prevotella_copri_61740,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Prevotella_copri_61740,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Prevotella_copri_61740,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Ruminococcus_bicirculans_59300,-1150.620345,one_epoch,12777.15509,N/A,N/A,N/A,N/A,N/A,N/A
Ruminococcus_bicirculans_59300,-1150.620344,two_epoch,12777.15508,2.99E+00,1.07E+12,3.19E+12,1.76E-06,3.76E+06,3.55E+03
Ruminococcus_bicirculans_59300,,exponential,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Ruminococcus_bicirculans_59300,,bottledecay,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Ruminococcus_bicirculans_59300,,three_epoch,,,#DIV/0!,0.00E+00,,#DIV/0!,#DIV/0!
Ruminococcus_bromii_62047,-393.7434185,one_epoch,7298.842097,N/A,N/A,N/A,N/A,N/A,N/A
Ruminococcus_bromii_62047,-393.7434184,two_epoch,7298.842097,2.40E+00,7.61E+11,1.82E+12,1.74E-06,2.64E+06,2.50E+03
Ruminococcus_bromii_62047,-393.7434081,exponential,7298.842081,1.64E+00,1.11E+12,1.82E+12,1.56E-05,3.46E+07,3.27E+04
Ruminococcus_bromii_62047,-393.7434184,bottledecay,7298.842097,3.97E+00,4.59E+11,1.82E+12,1.82E-06,1.67E+06,1.58E+03
Ruminococcus_bromii_62047,-393.7434183,three_epoch,7298.842096,2.68E+00,6.82E+11,1.82E+12,1.00E-06,1.36E+06,1.29E+03
